🧘‍♂️ Top 1000 meditative 1989 06 04 14:10 with (stability 6–8, highest (fire+peace)/2):

01. 1992-03-14T13:10 | meditate=true | fire=6 | peace=9.5 | stability=6 | growth=5.60 | avgFirePeace=7.75
45. 1992-03-19T13:10 | meditate=true | fire=5.5 | peace=4.5 | stability=7 | growth=8.25 | avgFirePeace=5.00
46. 1992-05-18T13:10 | meditate=true | fire=4.5 | peace=5.5 | stability=8 | growth=6.60 | avgFirePeace=5.00
47. 1992-10-05T13:10 | meditate=true | fire=6.5 | peace=3.5 | stability=7 | growth=11.05 | avgFirePeace=5.00
48. 1992-12-05T13:10 | meditate=true | fire=4.5 | peace=5.5 | stability=8 | growth=7.15 | avgFirePeace=5.00
49. 1992-12-15T13:10 | meditate=true | fire=5 | peace=5 | stability=7 | growth=7.20 | avgFirePeace=5.00
50. 1993-03-16T13:10 | meditate=true | fire=5 | peace=5 | stability=7 | growth=7.80 | avgFirePeace=5.00
51. 1993-04-25T13:10 | meditate=true | fire=7 | peace=3 | stability=8 | growth=10.40 | avgFirePeace=5.00
52. 1988-03-29T13:10 | meditate=true | fire=5.5 | peace=4 | stability=7 | growth=8.45 | avgFirePeace=4.75
53. 1988-10-02T13:10 | meditate=true | fire=2.5 | peace=7 | stability=8 | growth=3.60 | avgFirePeace=4.75
54. 1988-11-26T13:10 | meditate=true | fire=3.5 | peace=6 | stability=8 | growth=4.50 | avgFirePeace=4.75
55. 1989-06-14T13:10 | meditate=true | fire=1.5 | peace=8 | stability=6 | growth=2.25 | avgFirePeace=4.75
56. 1989-06-23T13:10 | meditate=true | fire=2.5 | peace=7 | stability=7 | growth=3.15 | avgFirePeace=4.75
57. 1989-07-01T13:10 | meditate=true | fire=2 | peace=7.5 | stability=7 | growth=2.80 | avgFirePeace=4.75
58. 1989-09-08T13:10 | meditate=true | fire=2.5 | peace=7 | stability=6 | growth=2.50 | avgFirePeace=4.75
59. 1990-06-15T13:10 | meditate=true | fire=5 | peace=4.5 | stability=6 | growth=7.70 | avgFirePeace=4.75
60. 1990-09-17T13:10 | meditate=true | fire=6 | peace=3.5 | stability=6 | growth=9.80 | avgFirePeace=4.75
61. 1991-12-28T13:10 | meditate=true | fire=5.5 | peace=4 | stability=8 | growth=7.70 | avgFirePeace=4.75
62. 1992-03-26T13:10 | meditate=true | fire=5.5 | peace=4 | stability=8 | growth=7.15 | avgFirePeace=4.75
63. 1992-04-27T13:10 | meditate=true | fire=5 | peace=4.5 | stability=7 | growth=7.70 | avgFirePeace=4.75
64. 1992-10-07T13:10 | meditate=true | fire=6 | peace=3.5 | stability=7 | growth=9.80 | avgFirePeace=4.75
65. 1993-10-03T13:10 | meditate=true | fire=4.5 | peace=5 | stability=7 | growth=6.50 | avgFirePeace=4.75
66. 1994-12-04T13:10 | meditate=true | fire=4 | peace=5.5 | stability=6 | growth=5.00 | avgFirePeace=4.75
67. 1988-07-12T13:10 | meditate=true | fire=3.5 | peace=5.5 | stability=7 | growth=6.05 | avgFirePeace=4.50
68. 1988-12-12T13:10 | meditate=true | fire=4.5 | peace=4.5 | stability=8 | growth=5.85 | avgFirePeace=4.50
69. 1988-12-14T13:10 | meditate=true | fire=3.5 | peace=5.5 | stability=6 | growth=4.95 | avgFirePeace=4.50
70. 1989-06-12T13:10 | meditate=true | fire=3 | peace=6 | stability=7 | growth=3.00 | avgFirePeace=4.50
71. 1989-09-16T13:10 | meditate=true | fire=3 | peace=6 | stability=7 | growth=4.20 | avgFirePeace=4.50
72. 1989-10-03T13:10 | meditate=true | fire=3.5 | peace=5.5 | stability=7 | growth=4.50 | avgFirePeace=4.50
73. 1989-10-04T13:10 | meditate=true | fire=3.5 | peace=5.5 | stability=6 | growth=4.50 | avgFirePeace=4.50
74. 1990-10-01T13:10 | meditate=true | fire=6 | peace=3 | stability=7 | growth=9.60 | avgFirePeace=4.50
75. 1990-10-04T13:10 | meditate=true | fire=5.5 | peace=3.5 | stability=6 | growth=7.80 | avgFirePeace=4.50
76. 1991-03-02T13:10 | meditate=true | fire=4.5 | peace=4.5 | stability=7 | growth=6.60 | avgFirePeace=4.50
77. 1991-12-29T13:10 | meditate=true | fire=5 | peace=4 | stability=8 | growth=7.80 | avgFirePeace=4.50
78. 1992-01-31T13:10 | meditate=true | fire=5.5 | peace=3.5 | stability=7 | growth=7.80 | avgFirePeace=4.50
79. 1992-03-20T13:10 | meditate=true | fire=4.5 | peace=4.5 | stability=7 | growth=7.50 | avgFirePeace=4.50
80. 1992-03-22T13:10 | meditate=true | fire=5 | peace=4 | stability=8 | growth=6.60 | avgFirePeace=4.50
81. 1992-04-28T13:10 | meditate=true | fire=4.5 | peace=4.5 | stability=6 | growth=7.15 | avgFirePeace=4.50
82. 1992-04-29T13:10 | meditate=true | fire=4.5 | peace=4.5 | stability=6 | growth=7.15 | avgFirePeace=4.50
83. 1992-06-16T13:10 | meditate=true | fire=4.5 | peace=4.5 | stability=6 | growth=6.60 | avgFirePeace=4.50
84. 1992-09-29T13:10 | meditate=true | fire=6.5 | peace=2.5 | stability=8 | growth=10.50 | avgFirePeace=4.50
85. 1993-01-23T13:10 | meditate=true | fire=6 | peace=3 | stability=7 | growth=9.10 | avgFirePeace=4.50
86. 1993-01-24T13:10 | meditate=true | fire=6 | peace=3 | stability=7 | growth=9.10 | avgFirePeace=4.50
87. 1993-07-02T13:10 | meditate=true | fire=5 | peace=4 | stability=7 | growth=7.00 | avgFirePeace=4.50
88. 1993-07-03T13:10 | meditate=true | fire=4.5 | peace=4.5 | stability=7 | growth=5.85 | avgFirePeace=4.50
89. 1993-10-04T13:10 | meditate=true | fire=4 | peace=5 | stability=8 | growth=6.30 | avgFirePeace=4.50
90. 1994-03-02T13:10 | meditate=true | fire=2.5 | peace=6.5 | stability=7 | growth=2.80 | avgFirePeace=4.50
91. 1988-06-27T13:10 | meditate=true | fire=3.5 | peace=5 | stability=7 | growth=5.50 | avgFirePeace=4.25
92. 1988-09-30T13:10 | meditate=true | fire=3 | peace=5.5 | stability=7 | growth=4.00 | avgFirePeace=4.25
93. 1988-12-15T13:10 | meditate=true | fire=4.5 | peace=4 | stability=7 | growth=6.05 | avgFirePeace=4.25
94. 1989-03-02T13:10 | meditate=true | fire=2.5 | peace=6 | stability=8 | growth=2.00 | avgFirePeace=4.25
95. 1989-03-06T13:10 | meditate=true | fire=1.5 | peace=7 | stability=6 | growth=1.75 | avgFirePeace=4.25
96. 1989-04-01T13:10 | meditate=true | fire=4 | peace=4.5 | stability=8 | growth=5.40 | avgFirePeace=4.25
97. 1989-06-16T13:10 | meditate=true | fire=1 | peace=7.5 | stability=6 | growth=2.40 | avgFirePeace=4.25
98. 1989-06-18T13:10 | meditate=true | fire=1 | peace=7.5 | stability=7 | growth=2.40 | avgFirePeace=4.25
99. 1989-06-25T13:10 | meditate=true | fire=2 | peace=6.5 | stability=7 | growth=3.60 | avgFirePeace=4.25
100. 1989-09-15T13:10 | meditate=true | fire=2.5 | peace=6 | stability=7 | growth=3.85 | avgFirePeace=4.25
101. 1989-10-02T13:10 | meditate=true | fire=4 | peace=4.5 | stability=7 | growth=5.00 | avgFirePeace=4.25
102. 1990-09-20T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
103. 1990-10-02T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
104. 1992-01-02T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
105. 1992-02-17T13:10 | meditate=true | fire=4 | peace=4.5 | stability=7 | growth=6.00 | avgFirePeace=4.25
106. 1992-02-28T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
107. 1992-03-03T13:10 | meditate=true | fire=4 | peace=4.5 | stability=7 | growth=6.60 | avgFirePeace=4.25
108. 1992-03-18T13:10 | meditate=true | fire=4.5 | peace=4 | stability=6 | growth=6.50 | avgFirePeace=4.25
109. 1992-03-24T13:10 | meditate=true | fire=5 | peace=3.5 | stability=8 | growth=7.20 | avgFirePeace=4.25
110. 1992-04-15T13:10 | meditate=true | fire=4.5 | peace=4 | stability=7 | growth=7.80 | avgFirePeace=4.25
111. 1992-04-24T13:10 | meditate=true | fire=6.5 | peace=2 | stability=7 | growth=10.40 | avgFirePeace=4.25
112. 1992-05-22T13:10 | meditate=true | fire=4 | peace=4.5 | stability=8 | growth=7.20 | avgFirePeace=4.25
113. 1992-11-05T13:10 | meditate=true | fire=4.5 | peace=4 | stability=7 | growth=7.15 | avgFirePeace=4.25
114. 1993-04-27T13:10 | meditate=true | fire=6 | peace=2.5 | stability=8 | growth=9.80 | avgFirePeace=4.25
115. 1993-05-19T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.50 | avgFirePeace=4.25
116. 1994-03-13T13:10 | meditate=true | fire=5.5 | peace=3 | stability=8 | growth=7.15 | avgFirePeace=4.25
117. 1994-12-05T13:10 | meditate=true | fire=3.5 | peace=5 | stability=6 | growth=4.95 | avgFirePeace=4.25
118. 1988-01-01T13:10 | meditate=true | fire=4.5 | peace=3.5 | stability=7 | growth=7.65 | avgFirePeace=4.00
119. 1988-01-27T13:10 | meditate=true | fire=5.5 | peace=2.5 | stability=7 | growth=9.10 | avgFirePeace=4.00
120. 1989-06-27T13:10 | meditate=true | fire=1.5 | peace=6.5 | stability=7 | growth=3.15 | avgFirePeace=4.00
121. 1990-12-16T13:10 | meditate=true | fire=5 | peace=3 | stability=7 | growth=7.80 | avgFirePeace=4.00
122. 1991-03-06T13:10 | meditate=true | fire=3.5 | peace=4.5 | stability=8 | growth=6.50 | avgFirePeace=4.00
123. 1992-03-01T13:10 | meditate=true | fire=4.5 | peace=3.5 | stability=7 | growth=7.15 | avgFirePeace=4.00
124. 1992-03-04T13:10 | meditate=true | fire=4 | peace=4 | stability=7 | growth=6.00 | avgFirePeace=4.00
125. 1992-03-21T13:10 | meditate=true | fire=4.5 | peace=3.5 | stability=7 | growth=7.15 | avgFirePeace=4.00
126. 1992-03-25T13:10 | meditate=true | fire=4.5 | peace=3.5 | stability=8 | growth=7.15 | avgFirePeace=4.00
127. 1992-03-27T13:10 | meditate=true | fire=5 | peace=3 | stability=8 | growth=7.80 | avgFirePeace=4.00
128. 1992-09-28T13:10 | meditate=true | fire=5.5 | peace=2.5 | stability=8 | growth=9.75 | avgFirePeace=4.00
129. 1992-12-06T13:10 | meditate=true | fire=3.5 | peace=4.5 | stability=8 | growth=6.05 | avgFirePeace=4.00
130. 1992-12-26T13:10 | meditate=true | fire=5 | peace=3 | stability=8 | growth=8.40 | avgFirePeace=4.00
131. 1993-01-25T13:10 | meditate=true | fire=5 | peace=3 | stability=7 | growth=7.80 | avgFirePeace=4.00
132. 1993-01-31T13:10 | meditate=true | fire=4.5 | peace=3.5 | stability=7 | growth=7.50 | avgFirePeace=4.00
133. 1993-03-13T13:10 | meditate=true | fire=4.5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.00
134. 1993-04-13T13:10 | meditate=true | fire=4.5 | peace=3.5 | stability=8 | growth=7.15 | avgFirePeace=4.00
135. 1993-04-24T13:10 | meditate=true | fire=6 | peace=2 | stability=7 | growth=10.50 | avgFirePeace=4.00
136. 1993-05-17T13:10 | meditate=true | fire=3.5 | peace=4.5 | stability=6 | growth=4.55 | avgFirePeace=4.00
137. 1993-07-04T13:10 | meditate=true | fire=5 | peace=3 | stability=7 | growth=7.00 | avgFirePeace=4.00
138. 1994-03-04T13:10 | meditate=true | fire=3.5 | peace=4.5 | stability=7 | growth=4.50 | avgFirePeace=4.00
139. 1994-07-24T13:10 | meditate=true | fire=3.5 | peace=4.5 | stability=7 | growth=6.05 | avgFirePeace=4.00
140. 1988-04-01T13:10 | meditate=true | fire=5 | peace=2.5 | stability=6 | growth=8.40 | avgFirePeace=3.75
141. 1988-12-16T13:10 | meditate=true | fire=4 | peace=3.5 | stability=6 | growth=6.00 | avgFirePeace=3.75
142. 1988-12-17T13:10 | meditate=true | fire=3.5 | peace=4 | stability=8 | growth=5.50 | avgFirePeace=3.75
143. 1988-12-21T13:10 | meditate=true | fire=3.5 | peace=4 | stability=6 | growth=4.95 | avgFirePeace=3.75
144. 1989-05-26T13:10 | meditate=true | fire=1 | peace=6.5 | stability=7 | growth=2.10 | avgFirePeace=3.75
145. 1989-05-30T13:10 | meditate=true | fire=1.5 | peace=6 | stability=6 | growth=2.25 | avgFirePeace=3.75
146. 1989-06-21T13:10 | meditate=true | fire=2.5 | peace=5 | stability=6 | growth=3.85 | avgFirePeace=3.75
147. 1989-08-20T13:10 | meditate=true | fire=2.5 | peace=5 | stability=6 | growth=3.60 | avgFirePeace=3.75
148. 1989-09-19T13:10 | meditate=true | fire=4 | peace=3.5 | stability=6 | growth=5.20 | avgFirePeace=3.75
149. 1989-09-20T13:10 | meditate=true | fire=4 | peace=3.5 | stability=6 | growth=5.20 | avgFirePeace=3.75
150. 1989-10-01T13:10 | meditate=true | fire=3.5 | peace=4 | stability=7 | growth=4.95 | avgFirePeace=3.75
151. 1990-03-25T13:10 | meditate=true | fire=5 | peace=2.5 | stability=8 | growth=7.20 | avgFirePeace=3.75
152. 1990-06-16T13:10 | meditate=true | fire=5.5 | peace=2 | stability=6 | growth=9.75 | avgFirePeace=3.75
153. 1991-03-05T13:10 | meditate=true | fire=3 | peace=4.5 | stability=7 | growth=5.50 | avgFirePeace=3.75
154. 1992-02-03T13:10 | meditate=true | fire=6 | peace=1.5 | stability=6 | growth=9.00 | avgFirePeace=3.75
155. 1992-02-29T13:10 | meditate=true | fire=5 | peace=2.5 | stability=7 | growth=8.40 | avgFirePeace=3.75
156. 1992-04-21T13:10 | meditate=true | fire=6 | peace=1.5 | stability=7 | growth=11.20 | avgFirePeace=3.75
157. 1992-04-22T13:10 | meditate=true | fire=5 | peace=2.5 | stability=7 | growth=9.10 | avgFirePeace=3.75
158. 1992-06-11T13:10 | meditate=true | fire=5.5 | peace=2 | stability=7 | growth=8.45 | avgFirePeace=3.75
159. 1992-09-06T13:10 | meditate=true | fire=3.5 | peace=4 | stability=7 | growth=4.95 | avgFirePeace=3.75
160. 1992-09-22T13:10 | meditate=true | fire=5.5 | peace=2 | stability=7 | growth=10.50 | avgFirePeace=3.75
161. 1992-12-12T13:10 | meditate=true | fire=4.5 | peace=3 | stability=7 | growth=7.80 | avgFirePeace=3.75
162. 1992-12-17T13:10 | meditate=true | fire=4 | peace=3.5 | stability=7 | growth=7.20 | avgFirePeace=3.75
163. 1993-01-27T13:10 | meditate=true | fire=5 | peace=2.5 | stability=7 | growth=8.40 | avgFirePeace=3.75
164. 1993-03-29T13:10 | meditate=true | fire=4.5 | peace=3 | stability=8 | growth=7.15 | avgFirePeace=3.75
165. 1993-04-05T13:10 | meditate=true | fire=5 | peace=2.5 | stability=8 | growth=8.40 | avgFirePeace=3.75
166. 1993-04-21T13:10 | meditate=true | fire=6.5 | peace=1 | stability=8 | growth=12.75 | avgFirePeace=3.75
167. 1993-04-23T13:10 | meditate=true | fire=5.5 | peace=2 | stability=7 | growth=9.75 | avgFirePeace=3.75
168. 1993-10-02T13:10 | meditate=true | fire=3.5 | peace=4 | stability=8 | growth=7.50 | avgFirePeace=3.75
169. 1988-01-02T13:10 | meditate=true | fire=4 | peace=3 | stability=7 | growth=7.70 | avgFirePeace=3.50
170. 1988-03-03T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=7 | growth=6.05 | avgFirePeace=3.50
171. 1988-07-02T13:10 | meditate=true | fire=3 | peace=4 | stability=6 | growth=4.40 | avgFirePeace=3.50
172. 1988-10-05T13:10 | meditate=true | fire=2 | peace=5 | stability=7 | growth=4.00 | avgFirePeace=3.50
173. 1988-11-16T13:10 | meditate=true | fire=1.5 | peace=5.5 | stability=7 | growth=3.60 | avgFirePeace=3.50
174. 1988-11-29T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=8 | growth=6.05 | avgFirePeace=3.50
175. 1988-12-02T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=8 | growth=4.95 | avgFirePeace=3.50
176. 1988-12-20T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=6 | growth=5.40 | avgFirePeace=3.50
177. 1989-02-26T13:10 | meditate=true | fire=2 | peace=5 | stability=7 | growth=2.70 | avgFirePeace=3.50
178. 1989-03-07T13:10 | meditate=true | fire=1.5 | peace=5.5 | stability=6 | growth=2.00 | avgFirePeace=3.50
179. 1989-03-30T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=8 | growth=4.95 | avgFirePeace=3.50
180. 1989-05-27T13:10 | meditate=true | fire=1 | peace=6 | stability=6 | growth=1.80 | avgFirePeace=3.50
181. 1989-07-04T13:10 | meditate=true | fire=1.5 | peace=5.5 | stability=6 | growth=3.15 | avgFirePeace=3.50
182. 1989-09-09T13:10 | meditate=true | fire=1 | peace=6 | stability=6 | growth=1.80 | avgFirePeace=3.50
183. 1989-09-18T13:10 | meditate=true | fire=3 | peace=4 | stability=8 | growth=5.40 | avgFirePeace=3.50
184. 1989-09-27T13:10 | meditate=true | fire=3 | peace=4 | stability=8 | growth=4.40 | avgFirePeace=3.50
185. 1992-02-01T13:10 | meditate=true | fire=5 | peace=2 | stability=6 | growth=7.80 | avgFirePeace=3.50
186. 1992-02-16T13:10 | meditate=true | fire=4 | peace=3 | stability=7 | growth=6.50 | avgFirePeace=3.50
187. 1992-10-06T13:10 | meditate=true | fire=5 | peace=2 | stability=7 | growth=9.80 | avgFirePeace=3.50
188. 1992-12-13T13:10 | meditate=true | fire=4 | peace=3 | stability=7 | growth=7.70 | avgFirePeace=3.50
189. 1993-03-15T13:10 | meditate=true | fire=4 | peace=3 | stability=7 | growth=8.40 | avgFirePeace=3.50
190. 1993-03-22T13:10 | meditate=true | fire=3 | peace=4 | stability=7 | growth=6.00 | avgFirePeace=3.50
191. 1993-04-26T13:10 | meditate=true | fire=5.5 | peace=1.5 | stability=8 | growth=9.10 | avgFirePeace=3.50
192. 1993-05-20T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=7 | growth=7.15 | avgFirePeace=3.50
193. 1993-05-21T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=7 | growth=7.15 | avgFirePeace=3.50
194. 1993-09-30T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=8 | growth=6.05 | avgFirePeace=3.50
195. 1994-03-14T13:10 | meditate=true | fire=5 | peace=2 | stability=8 | growth=7.80 | avgFirePeace=3.50
196. 1994-06-12T13:10 | meditate=true | fire=4 | peace=3 | stability=8 | growth=6.30 | avgFirePeace=3.50
197. 1994-06-13T13:10 | meditate=true | fire=3.5 | peace=3.5 | stability=8 | growth=6.50 | avgFirePeace=3.50
198. 1994-06-30T13:10 | meditate=true | fire=4 | peace=3 | stability=8 | growth=7.20 | avgFirePeace=3.50
199. 1994-08-21T13:10 | meditate=true | fire=2 | peace=5 | stability=8 | growth=4.50 | avgFirePeace=3.50
200. 1988-01-26T13:10 | meditate=true | fire=4.5 | peace=2 | stability=7 | growth=8.25 | avgFirePeace=3.25
201. 1988-01-31T13:10 | meditate=true | fire=5 | peace=1.5 | stability=7 | growth=11.70 | avgFirePeace=3.25
202. 1988-02-02T13:10 | meditate=true | fire=5 | peace=1.5 | stability=7 | growth=11.20 | avgFirePeace=3.25
203. 1988-02-26T13:10 | meditate=true | fire=5 | peace=1.5 | stability=7 | growth=9.10 | avgFirePeace=3.25
204. 1988-03-20T13:10 | meditate=true | fire=3.5 | peace=3 | stability=6 | growth=6.60 | avgFirePeace=3.25
205. 1988-07-03T13:10 | meditate=true | fire=2.5 | peace=4 | stability=6 | growth=3.85 | avgFirePeace=3.25
206. 1988-07-04T13:10 | meditate=true | fire=3 | peace=3.5 | stability=7 | growth=5.50 | avgFirePeace=3.25
207. 1988-07-10T13:10 | meditate=true | fire=2.5 | peace=4 | stability=7 | growth=6.05 | avgFirePeace=3.25
208. 1988-10-29T13:10 | meditate=true | fire=2.5 | peace=4 | stability=7 | growth=6.50 | avgFirePeace=3.25
209. 1988-11-27T13:10 | meditate=true | fire=2.5 | peace=4 | stability=8 | growth=5.20 | avgFirePeace=3.25
210. 1988-12-03T13:10 | meditate=true | fire=2.5 | peace=4 | stability=8 | growth=3.60 | avgFirePeace=3.25
211. 1989-03-01T13:10 | meditate=true | fire=3 | peace=3.5 | stability=7 | growth=3.30 | avgFirePeace=3.25
212. 1989-05-25T13:10 | meditate=true | fire=0.5 | peace=6 | stability=6 | growth=2.00 | avgFirePeace=3.25
213. 1989-07-03T13:10 | meditate=true | fire=1 | peace=5.5 | stability=6 | growth=2.70 | avgFirePeace=3.25
214. 1989-12-26T13:10 | meditate=true | fire=4.5 | peace=2 | stability=7 | growth=7.15 | avgFirePeace=3.25
215. 1990-03-24T13:10 | meditate=true | fire=4.5 | peace=2 | stability=6 | growth=7.15 | avgFirePeace=3.25
216. 1991-12-31T13:10 | meditate=true | fire=3.5 | peace=3 | stability=7 | growth=6.60 | avgFirePeace=3.25
217. 1992-01-12T13:10 | meditate=true | fire=5 | peace=1.5 | stability=7 | growth=9.10 | avgFirePeace=3.25
218. 1992-01-29T13:10 | meditate=true | fire=4.5 | peace=2 | stability=7 | growth=7.15 | avgFirePeace=3.25
219. 1992-02-14T13:10 | meditate=true | fire=3.5 | peace=3 | stability=7 | growth=5.85 | avgFirePeace=3.25
220. 1992-03-28T13:10 | meditate=true | fire=5 | peace=1.5 | stability=8 | growth=9.10 | avgFirePeace=3.25
221. 1992-05-20T13:10 | meditate=true | fire=3.5 | peace=3 | stability=7 | growth=6.60 | avgFirePeace=3.25
222. 1992-05-24T13:10 | meditate=true | fire=3.5 | peace=3 | stability=6 | growth=7.15 | avgFirePeace=3.25
223. 1992-09-21T13:10 | meditate=true | fire=4.5 | peace=2 | stability=7 | growth=9.10 | avgFirePeace=3.25
224. 1992-10-01T13:10 | meditate=true | fire=5 | peace=1.5 | stability=8 | growth=9.10 | avgFirePeace=3.25
225. 1992-10-03T13:10 | meditate=true | fire=4 | peace=2.5 | stability=7 | growth=8.40 | avgFirePeace=3.25
226. 1992-10-26T13:10 | meditate=true | fire=4 | peace=2.5 | stability=7 | growth=8.40 | avgFirePeace=3.25
