🧘‍♂️ Top 187 all days (stability 6-8, sorted by avgFirePeace desc):

01. 1997-06-07T13:10 | meditate=false | fire=8.5 | peace=7.5 | stability=8 | growth=7.60 | avgFirePeace=8.00
121. 1997-08-15T13:10 | meditate=false | fire=6.5 | peace=3 | stability=8 | growth=10.20 | avgFirePeace=4.75
122. 1998-03-15T13:10 | meditate=false | fire=5.5 | peace=4 | stability=8 | growth=7.50 | avgFirePeace=4.75
123. 1998-10-06T13:10 | meditate=true | fire=5.5 | peace=4 | stability=7 | growth=9.00 | avgFirePeace=4.75
124. 1998-12-08T13:10 | meditate=false | fire=5 | peace=4.5 | stability=8 | growth=7.70 | avgFirePeace=4.75
125. 1999-03-18T13:10 | meditate=false | fire=6 | peace=3.5 | stability=7 | growth=8.80 | avgFirePeace=4.75
126. 1988-05-30T13:10 | meditate=false | fire=5 | peace=4 | stability=7 | growth=7.80 | avgFirePeace=4.50
127. 1990-09-14T13:10 | meditate=false | fire=5.5 | peace=3.5 | stability=8 | growth=9.10 | avgFirePeace=4.50
128. 1990-10-01T13:10 | meditate=true | fire=6 | peace=3 | stability=7 | growth=9.60 | avgFirePeace=4.50
129. 1990-10-04T13:10 | meditate=true | fire=5.5 | peace=3.5 | stability=6 | growth=7.80 | avgFirePeace=4.50
130. 1991-11-11T13:10 | meditate=false | fire=6 | peace=3 | stability=8 | growth=9.10 | avgFirePeace=4.50
131. 1991-12-17T13:10 | meditate=false | fire=5.5 | peace=3.5 | stability=7 | growth=8.25 | avgFirePeace=4.50
132. 1991-12-29T13:10 | meditate=true | fire=5 | peace=4 | stability=8 | growth=7.80 | avgFirePeace=4.50
133. 1992-01-31T13:10 | meditate=true | fire=5.5 | peace=3.5 | stability=7 | growth=7.80 | avgFirePeace=4.50
134. 1992-03-22T13:10 | meditate=true | fire=5 | peace=4 | stability=8 | growth=6.60 | avgFirePeace=4.50
135. 1993-01-23T13:10 | meditate=true | fire=6 | peace=3 | stability=7 | growth=9.10 | avgFirePeace=4.50
136. 1993-01-24T13:10 | meditate=true | fire=6 | peace=3 | stability=7 | growth=9.10 | avgFirePeace=4.50
137. 1993-07-02T13:10 | meditate=true | fire=5 | peace=4 | stability=7 | growth=7.00 | avgFirePeace=4.50
138. 1997-01-31T13:10 | meditate=true | fire=6 | peace=3 | stability=8 | growth=9.10 | avgFirePeace=4.50
139. 1997-05-30T13:10 | meditate=false | fire=5.5 | peace=3.5 | stability=8 | growth=8.50 | avgFirePeace=4.50
140. 1997-08-04T13:10 | meditate=false | fire=6 | peace=3 | stability=8 | growth=9.90 | avgFirePeace=4.50
141. 1997-08-23T13:10 | meditate=false | fire=5.5 | peace=3.5 | stability=8 | growth=8.25 | avgFirePeace=4.50
142. 1997-09-23T13:10 | meditate=false | fire=5 | peace=4 | stability=8 | growth=7.20 | avgFirePeace=4.50
143. 1998-03-11T13:10 | meditate=false | fire=5.5 | peace=3.5 | stability=8 | growth=7.80 | avgFirePeace=4.50
144. 1998-03-27T13:10 | meditate=true | fire=5 | peace=4 | stability=8 | growth=7.20 | avgFirePeace=4.50
145. 1998-03-31T13:10 | meditate=true | fire=5 | peace=4 | stability=7 | growth=6.60 | avgFirePeace=4.50
146. 1998-06-22T13:10 | meditate=true | fire=5.5 | peace=3.5 | stability=6 | growth=8.25 | avgFirePeace=4.50
147. 1998-07-23T13:10 | meditate=true | fire=5.5 | peace=3.5 | stability=7 | growth=8.50 | avgFirePeace=4.50
148. 1998-09-20T13:10 | meditate=false | fire=5 | peace=4 | stability=7 | growth=7.00 | avgFirePeace=4.50
149. 1998-09-22T13:10 | meditate=false | fire=5 | peace=4 | stability=8 | growth=9.00 | avgFirePeace=4.50
150. 1998-11-08T13:10 | meditate=false | fire=5 | peace=4 | stability=7 | growth=8.40 | avgFirePeace=4.50
151. 1998-11-20T13:10 | meditate=true | fire=5 | peace=4 | stability=7 | growth=7.80 | avgFirePeace=4.50
152. 1999-02-03T13:10 | meditate=false | fire=5.5 | peace=3.5 | stability=8 | growth=8.25 | avgFirePeace=4.50
153. 1999-02-04T13:10 | meditate=false | fire=5.5 | peace=3.5 | stability=8 | growth=8.50 | avgFirePeace=4.50
154. 1999-02-25T13:10 | meditate=false | fire=5 | peace=4 | stability=8 | growth=7.20 | avgFirePeace=4.50
155. 1999-03-17T13:10 | meditate=false | fire=6 | peace=3 | stability=7 | growth=9.60 | avgFirePeace=4.50
156. 1990-09-20T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
157. 1990-10-02T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
158. 1991-09-19T13:10 | meditate=false | fire=5.5 | peace=3 | stability=8 | growth=7.70 | avgFirePeace=4.25
159. 1991-11-01T13:10 | meditate=false | fire=5.5 | peace=3 | stability=8 | growth=8.45 | avgFirePeace=4.25
160. 1991-11-02T13:10 | meditate=false | fire=5.5 | peace=3 | stability=8 | growth=9.00 | avgFirePeace=4.25
161. 1992-01-02T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
162. 1992-02-28T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
163. 1992-03-24T13:10 | meditate=true | fire=5 | peace=3.5 | stability=8 | growth=7.20 | avgFirePeace=4.25
164. 1993-05-19T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.50 | avgFirePeace=4.25
165. 1994-03-13T13:10 | meditate=true | fire=5.5 | peace=3 | stability=8 | growth=7.15 | avgFirePeace=4.25
166. 1994-07-05T13:10 | meditate=false | fire=5 | peace=3.5 | stability=8 | growth=7.70 | avgFirePeace=4.25
167. 1996-10-29T13:10 | meditate=true | fire=5.5 | peace=3 | stability=8 | growth=8.45 | avgFirePeace=4.25
168. 1997-03-05T13:10 | meditate=false | fire=5 | peace=3.5 | stability=8 | growth=7.20 | avgFirePeace=4.25
169. 1997-04-30T13:10 | meditate=true | fire=5.5 | peace=3 | stability=7 | growth=9.35 | avgFirePeace=4.25
170. 1997-05-29T13:10 | meditate=false | fire=5.5 | peace=3 | stability=8 | growth=9.35 | avgFirePeace=4.25
171. 1998-06-07T13:10 | meditate=false | fire=5 | peace=3.5 | stability=8 | growth=7.70 | avgFirePeace=4.25
172. 1998-07-25T13:10 | meditate=true | fire=5.5 | peace=3 | stability=7 | growth=9.35 | avgFirePeace=4.25
173. 1998-07-26T13:10 | meditate=true | fire=5.5 | peace=3 | stability=7 | growth=9.35 | avgFirePeace=4.25
174. 1999-03-20T13:10 | meditate=false | fire=5.5 | peace=3 | stability=7 | growth=9.00 | avgFirePeace=4.25
175. 1990-01-31T13:10 | meditate=false | fire=5 | peace=3 | stability=8 | growth=7.80 | avgFirePeace=4.00
176. 1990-12-16T13:10 | meditate=true | fire=5 | peace=3 | stability=7 | growth=7.80 | avgFirePeace=4.00
177. 1992-03-27T13:10 | meditate=true | fire=5 | peace=3 | stability=8 | growth=7.80 | avgFirePeace=4.00
178. 1992-08-16T13:10 | meditate=false | fire=5 | peace=3 | stability=7 | growth=7.80 | avgFirePeace=4.00
179. 1992-12-26T13:10 | meditate=true | fire=5 | peace=3 | stability=8 | growth=8.40 | avgFirePeace=4.00
180. 1993-01-25T13:10 | meditate=true | fire=5 | peace=3 | stability=7 | growth=7.80 | avgFirePeace=4.00
181. 1993-07-04T13:10 | meditate=true | fire=5 | peace=3 | stability=7 | growth=7.00 | avgFirePeace=4.00
182. 1995-03-29T13:10 | meditate=true | fire=5 | peace=3 | stability=7 | growth=7.80 | avgFirePeace=4.00
183. 1996-10-03T13:10 | meditate=true | fire=5 | peace=3 | stability=8 | growth=7.80 | avgFirePeace=4.00
184. 1997-11-09T13:10 | meditate=false | fire=5 | peace=3 | stability=8 | growth=8.40 | avgFirePeace=4.00
185. 1997-12-17T13:10 | meditate=false | fire=5 | peace=3 | stability=8 | growth=8.80 | avgFirePeace=4.00
186. 1998-03-12T13:10 | meditate=false | fire=5 | peace=3 | stability=8 | growth=7.00 | avgFirePeace=4.00
187. 1999-03-24T13:10 | meditate=false | fire=5 | peace=3 | stability=8 | growth=9.00 | avgFirePeace=4.00
