🧘‍♂️ Top 1000 pairs with 1989 06 04 14:10 (stability 6–8, highest (fire+peace)/2):

01. 1990-06-12T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=8 | growth=10.20 | avgFirePeace=6.50
42. 1991-11-11T13:10 | meditate=false | fire=6 | peace=3 | stability=8 | growth=9.10 | avgFirePeace=4.50
43. 1991-12-20T13:10 | meditate=false | fire=6 | peace=4 | stability=7 | growth=8.40 | avgFirePeace=5.00
44. 1991-12-25T13:10 | meditate=true | fire=6 | peace=4.5 | stability=8 | growth=8.40 | avgFirePeace=5.25
45. 1991-12-26T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=6.60 | avgFirePeace=6.25
46. 1991-12-27T13:10 | meditate=true | fire=6 | peace=4.5 | stability=8 | growth=7.80 | avgFirePeace=5.25
47. 1992-02-03T13:10 | meditate=true | fire=6 | peace=1.5 | stability=6 | growth=9.00 | avgFirePeace=3.75
48. 1992-03-13T13:10 | meditate=true | fire=6 | peace=6.5 | stability=6 | growth=7.00 | avgFirePeace=6.25
49. 1992-03-14T13:10 | meditate=true | fire=6 | peace=9.5 | stability=6 | growth=5.60 | avgFirePeace=7.75
50. 1992-04-21T13:10 | meditate=true | fire=6 | peace=1.5 | stability=7 | growth=11.20 | avgFirePeace=3.75
51. 1992-06-27T13:10 | meditate=true | fire=6 | peace=0 | stability=8 | growth=9.60 | avgFirePeace=3.00
52. 1992-09-08T13:10 | meditate=true | fire=6 | peace=7.5 | stability=7 | growth=7.00 | avgFirePeace=6.75
53. 1992-10-07T13:10 | meditate=true | fire=6 | peace=3.5 | stability=7 | growth=9.80 | avgFirePeace=4.75
54. 1993-01-23T13:10 | meditate=true | fire=6 | peace=3 | stability=7 | growth=9.10 | avgFirePeace=4.50
55. 1993-01-24T13:10 | meditate=true | fire=6 | peace=3 | stability=7 | growth=9.10 | avgFirePeace=4.50
56. 1993-01-26T13:10 | meditate=true | fire=6 | peace=4.5 | stability=7 | growth=8.40 | avgFirePeace=5.25
57. 1993-04-24T13:10 | meditate=true | fire=6 | peace=2 | stability=7 | growth=10.50 | avgFirePeace=4.00
58. 1993-04-27T13:10 | meditate=true | fire=6 | peace=2.5 | stability=8 | growth=9.80 | avgFirePeace=4.25
59. 1988-01-27T13:10 | meditate=true | fire=5.5 | peace=2.5 | stability=7 | growth=9.10 | avgFirePeace=4.00
60. 1988-02-13T13:10 | meditate=false | fire=5.5 | peace=1.5 | stability=8 | growth=9.10 | avgFirePeace=3.50
61. 1988-03-28T13:10 | meditate=true | fire=5.5 | peace=0 | stability=7 | growth=12.00 | avgFirePeace=2.75
62. 1988-03-29T13:10 | meditate=true | fire=5.5 | peace=4 | stability=7 | growth=8.45 | avgFirePeace=4.75
63. 1988-04-23T13:10 | meditate=false | fire=5.5 | peace=6.5 | stability=8 | growth=6.75 | avgFirePeace=6.00
64. 1988-05-20T13:10 | meditate=false | fire=5.5 | peace=9 | stability=8 | growth=4.55 | avgFirePeace=7.25
65. 1988-06-20T13:10 | meditate=false | fire=5.5 | peace=5 | stability=7 | growth=7.15 | avgFirePeace=5.25
66. 1988-06-23T13:10 | meditate=false | fire=5.5 | peace=7 | stability=8 | growth=5.50 | avgFirePeace=6.25
67. 1988-09-24T13:10 | meditate=false | fire=5.5 | peace=6.5 | stability=8 | growth=6.05 | avgFirePeace=6.00
68. 1989-12-13T13:10 | meditate=true | fire=5.5 | peace=5 | stability=8 | growth=6.60 | avgFirePeace=5.25
69. 1990-06-16T13:10 | meditate=true | fire=5.5 | peace=2 | stability=6 | growth=9.75 | avgFirePeace=3.75
70. 1990-08-15T13:10 | meditate=false | fire=5.5 | peace=4.5 | stability=8 | growth=8.50 | avgFirePeace=5.00
71. 1990-08-17T13:10 | meditate=false | fire=5.5 | peace=1.5 | stability=8 | growth=9.75 | avgFirePeace=3.50
72. 1990-09-14T13:10 | meditate=false | fire=5.5 | peace=3.5 | stability=8 | growth=9.10 | avgFirePeace=4.50
73. 1990-09-15T13:10 | meditate=false | fire=5.5 | peace=1 | stability=8 | growth=9.75 | avgFirePeace=3.25
74. 1990-09-27T13:10 | meditate=true | fire=5.5 | peace=0.5 | stability=7 | growth=9.35 | avgFirePeace=3.00
75. 1990-10-04T13:10 | meditate=true | fire=5.5 | peace=3.5 | stability=6 | growth=7.80 | avgFirePeace=4.50
76. 1991-07-03T13:10 | meditate=false | fire=5.5 | peace=1.5 | stability=8 | growth=10.40 | avgFirePeace=3.50
77. 1991-09-19T13:10 | meditate=false | fire=5.5 | peace=3 | stability=8 | growth=7.70 | avgFirePeace=4.25
78. 1991-09-21T13:10 | meditate=false | fire=5.5 | peace=-0.5 | stability=8 | growth=9.35 | avgFirePeace=2.50
79. 1991-11-01T13:10 | meditate=false | fire=5.5 | peace=3 | stability=8 | growth=8.45 | avgFirePeace=4.25
80. 1991-11-02T13:10 | meditate=false | fire=5.5 | peace=3 | stability=8 | growth=9.00 | avgFirePeace=4.25
81. 1991-12-16T13:10 | meditate=false | fire=5.5 | peace=4 | stability=7 | growth=7.70 | avgFirePeace=4.75
82. 1991-12-17T13:10 | meditate=false | fire=5.5 | peace=3.5 | stability=7 | growth=8.25 | avgFirePeace=4.50
83. 1991-12-18T13:10 | meditate=false | fire=5.5 | peace=2.5 | stability=7 | growth=8.25 | avgFirePeace=4.00
84. 1991-12-24T13:10 | meditate=true | fire=5.5 | peace=4.5 | stability=8 | growth=8.25 | avgFirePeace=5.00
85. 1991-12-28T13:10 | meditate=true | fire=5.5 | peace=4 | stability=8 | growth=7.70 | avgFirePeace=4.75
86. 1992-01-31T13:10 | meditate=true | fire=5.5 | peace=3.5 | stability=7 | growth=7.80 | avgFirePeace=4.50
87. 1992-03-05T13:10 | meditate=true | fire=5.5 | peace=6.5 | stability=7 | growth=6.75 | avgFirePeace=6.00
88. 1992-03-06T13:10 | meditate=true | fire=5.5 | peace=7 | stability=8 | growth=6.00 | avgFirePeace=6.25
89. 1992-03-15T13:10 | meditate=true | fire=5.5 | peace=8 | stability=6 | growth=6.00 | avgFirePeace=6.75
90. 1992-03-16T13:10 | meditate=true | fire=5.5 | peace=10 | stability=6 | growth=4.55 | avgFirePeace=7.75
91. 1992-03-17T13:10 | meditate=true | fire=5.5 | peace=6 | stability=6 | growth=5.85 | avgFirePeace=5.75
92. 1992-03-19T13:10 | meditate=true | fire=5.5 | peace=4.5 | stability=7 | growth=8.25 | avgFirePeace=5.00
93. 1992-03-26T13:10 | meditate=true | fire=5.5 | peace=4 | stability=8 | growth=7.15 | avgFirePeace=4.75
94. 1992-04-25T13:10 | meditate=true | fire=5.5 | peace=0.5 | stability=7 | growth=10.40 | avgFirePeace=3.00
95. 1992-06-11T13:10 | meditate=true | fire=5.5 | peace=2 | stability=7 | growth=8.45 | avgFirePeace=3.75
96. 1992-09-22T13:10 | meditate=true | fire=5.5 | peace=2 | stability=7 | growth=10.50 | avgFirePeace=3.75
97. 1992-09-28T13:10 | meditate=true | fire=5.5 | peace=2.5 | stability=8 | growth=9.75 | avgFirePeace=4.00
98. 1992-12-04T13:10 | meditate=true | fire=5.5 | peace=8 | stability=8 | growth=6.00 | avgFirePeace=6.75
99. 1993-01-21T13:10 | meditate=true | fire=5.5 | peace=0.5 | stability=7 | growth=10.40 | avgFirePeace=3.00
100. 1993-01-22T13:10 | meditate=true | fire=5.5 | peace=0.5 | stability=7 | growth=11.25 | avgFirePeace=3.00
101. 1993-03-14T13:10 | meditate=true | fire=5.5 | peace=5 | stability=7 | growth=8.45 | avgFirePeace=5.25
102. 1993-04-20T13:10 | meditate=true | fire=5.5 | peace=0 | stability=8 | growth=12.00 | avgFirePeace=2.75
103. 1993-04-23T13:10 | meditate=true | fire=5.5 | peace=2 | stability=7 | growth=9.75 | avgFirePeace=3.75
104. 1993-04-26T13:10 | meditate=true | fire=5.5 | peace=1.5 | stability=8 | growth=9.10 | avgFirePeace=3.50
105. 1993-06-07T13:10 | meditate=false | fire=5.5 | peace=1 | stability=8 | growth=9.75 | avgFirePeace=3.25
106. 1993-07-28T13:10 | meditate=false | fire=5.5 | peace=-1 | stability=8 | growth=12.35 | avgFirePeace=2.25
107. 1994-03-13T13:10 | meditate=true | fire=5.5 | peace=3 | stability=8 | growth=7.15 | avgFirePeace=4.25
108. 1988-01-31T13:10 | meditate=true | fire=5 | peace=1.5 | stability=7 | growth=11.70 | avgFirePeace=3.25
109. 1988-02-02T13:10 | meditate=true | fire=5 | peace=1.5 | stability=7 | growth=11.20 | avgFirePeace=3.25
110. 1988-02-26T13:10 | meditate=true | fire=5 | peace=1.5 | stability=7 | growth=9.10 | avgFirePeace=3.25
111. 1988-03-09T13:10 | meditate=false | fire=5 | peace=4.5 | stability=8 | growth=7.70 | avgFirePeace=4.75
112. 1988-04-01T13:10 | meditate=true | fire=5 | peace=2.5 | stability=6 | growth=8.40 | avgFirePeace=3.75
113. 1988-05-12T13:10 | meditate=false | fire=5 | peace=5.5 | stability=6 | growth=6.30 | avgFirePeace=5.25
114. 1988-05-16T13:10 | meditate=false | fire=5 | peace=10 | stability=6 | growth=4.20 | avgFirePeace=7.50
115. 1988-05-18T13:10 | meditate=false | fire=5 | peace=7 | stability=7 | growth=5.40 | avgFirePeace=6.00
116. 1988-05-30T13:10 | meditate=false | fire=5 | peace=4 | stability=7 | growth=7.80 | avgFirePeace=4.50
117. 1988-07-01T13:10 | meditate=true | fire=5 | peace=7.5 | stability=6 | growth=4.80 | avgFirePeace=6.25
118. 1988-08-29T13:10 | meditate=false | fire=5 | peace=8 | stability=7 | growth=5.40 | avgFirePeace=6.50
119. 1989-10-07T13:10 | meditate=false | fire=5 | peace=7 | stability=8 | growth=6.60 | avgFirePeace=6.00
120. 1989-12-07T13:10 | meditate=false | fire=5 | peace=5.5 | stability=6 | growth=6.50 | avgFirePeace=5.25
121. 1990-01-31T13:10 | meditate=false | fire=5 | peace=3 | stability=8 | growth=7.80 | avgFirePeace=4.00
122. 1990-03-17T13:10 | meditate=true | fire=5 | peace=0.5 | stability=6 | growth=8.40 | avgFirePeace=2.75
123. 1990-03-25T13:10 | meditate=true | fire=5 | peace=2.5 | stability=8 | growth=7.20 | avgFirePeace=3.75
124. 1990-06-06T13:10 | meditate=false | fire=5 | peace=6 | stability=7 | growth=5.60 | avgFirePeace=5.50
125. 1990-06-15T13:10 | meditate=true | fire=5 | peace=4.5 | stability=6 | growth=7.70 | avgFirePeace=4.75
126. 1990-08-30T13:10 | meditate=false | fire=5 | peace=0.5 | stability=8 | growth=9.60 | avgFirePeace=2.75
127. 1990-09-20T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
128. 1990-09-21T13:10 | meditate=false | fire=5 | peace=1 | stability=8 | growth=9.00 | avgFirePeace=3.00
129. 1990-10-02T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
130. 1990-12-16T13:10 | meditate=true | fire=5 | peace=3 | stability=7 | growth=7.80 | avgFirePeace=4.00
131. 1990-12-25T13:10 | meditate=false | fire=5 | peace=-2 | stability=8 | growth=9.00 | avgFirePeace=1.50
132. 1990-12-26T13:10 | meditate=false | fire=5 | peace=-1 | stability=8 | growth=10.20 | avgFirePeace=2.00
133. 1991-06-07T13:10 | meditate=false | fire=5 | peace=0.5 | stability=7 | growth=9.60 | avgFirePeace=2.75
134. 1991-08-01T13:10 | meditate=false | fire=5 | peace=4.5 | stability=8 | growth=7.20 | avgFirePeace=4.75
135. 1991-11-04T13:10 | meditate=false | fire=5 | peace=2 | stability=8 | growth=9.00 | avgFirePeace=3.50
136. 1991-11-05T13:10 | meditate=false | fire=5 | peace=0 | stability=8 | growth=10.20 | avgFirePeace=2.50
137. 1991-11-06T13:10 | meditate=false | fire=5 | peace=1 | stability=8 | growth=9.00 | avgFirePeace=3.00
138. 1991-11-14T13:10 | meditate=false | fire=5 | peace=4.5 | stability=8 | growth=6.00 | avgFirePeace=4.75
139. 1991-12-19T13:10 | meditate=false | fire=5 | peace=2 | stability=7 | growth=8.00 | avgFirePeace=3.50
140. 1991-12-29T13:10 | meditate=true | fire=5 | peace=4 | stability=8 | growth=7.80 | avgFirePeace=4.50
141. 1992-01-02T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
142. 1992-01-12T13:10 | meditate=true | fire=5 | peace=1.5 | stability=7 | growth=9.10 | avgFirePeace=3.25
143. 1992-02-01T13:10 | meditate=true | fire=5 | peace=2 | stability=6 | growth=7.80 | avgFirePeace=3.50
144. 1992-02-02T13:10 | meditate=true | fire=5 | peace=0.5 | stability=6 | growth=8.40 | avgFirePeace=2.75
145. 1992-02-28T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.70 | avgFirePeace=4.25
146. 1992-02-29T13:10 | meditate=true | fire=5 | peace=2.5 | stability=7 | growth=8.40 | avgFirePeace=3.75
147. 1992-03-02T13:10 | meditate=true | fire=5 | peace=5 | stability=7 | growth=6.60 | avgFirePeace=5.00
148. 1992-03-22T13:10 | meditate=true | fire=5 | peace=4 | stability=8 | growth=6.60 | avgFirePeace=4.50
149. 1992-03-24T13:10 | meditate=true | fire=5 | peace=3.5 | stability=8 | growth=7.20 | avgFirePeace=4.25
150. 1992-03-27T13:10 | meditate=true | fire=5 | peace=3 | stability=8 | growth=7.80 | avgFirePeace=4.00
151. 1992-03-28T13:10 | meditate=true | fire=5 | peace=1.5 | stability=8 | growth=9.10 | avgFirePeace=3.25
152. 1992-04-22T13:10 | meditate=true | fire=5 | peace=2.5 | stability=7 | growth=9.10 | avgFirePeace=3.75
153. 1992-04-23T13:10 | meditate=true | fire=5 | peace=1 | stability=7 | growth=9.80 | avgFirePeace=3.00
154. 1992-04-27T13:10 | meditate=true | fire=5 | peace=4.5 | stability=7 | growth=7.70 | avgFirePeace=4.75
155. 1992-08-12T13:10 | meditate=false | fire=5 | peace=1 | stability=8 | growth=9.80 | avgFirePeace=3.00
156. 1992-08-16T13:10 | meditate=false | fire=5 | peace=3 | stability=7 | growth=7.80 | avgFirePeace=4.00
157. 1992-09-07T13:10 | meditate=true | fire=5 | peace=6 | stability=7 | growth=6.60 | avgFirePeace=5.50
158. 1992-09-30T13:10 | meditate=true | fire=5 | peace=0 | stability=8 | growth=12.60 | avgFirePeace=2.50
159. 1992-10-01T13:10 | meditate=true | fire=5 | peace=1.5 | stability=8 | growth=9.10 | avgFirePeace=3.25
160. 1992-10-06T13:10 | meditate=true | fire=5 | peace=2 | stability=7 | growth=9.80 | avgFirePeace=3.50
161. 1992-10-09T13:10 | meditate=true | fire=5 | peace=0.5 | stability=7 | growth=10.50 | avgFirePeace=2.75
162. 1992-12-15T13:10 | meditate=true | fire=5 | peace=5 | stability=7 | growth=7.20 | avgFirePeace=5.00
163. 1992-12-26T13:10 | meditate=true | fire=5 | peace=3 | stability=8 | growth=8.40 | avgFirePeace=4.00
164. 1993-01-25T13:10 | meditate=true | fire=5 | peace=3 | stability=7 | growth=7.80 | avgFirePeace=4.00
165. 1993-01-27T13:10 | meditate=true | fire=5 | peace=2.5 | stability=7 | growth=8.40 | avgFirePeace=3.75
166. 1993-03-16T13:10 | meditate=true | fire=5 | peace=5 | stability=7 | growth=7.80 | avgFirePeace=5.00
167. 1993-04-05T13:10 | meditate=true | fire=5 | peace=2.5 | stability=8 | growth=8.40 | avgFirePeace=3.75
168. 1993-05-19T13:10 | meditate=true | fire=5 | peace=3.5 | stability=7 | growth=7.50 | avgFirePeace=4.25
169. 1993-07-02T13:10 | meditate=true | fire=5 | peace=4 | stability=7 | growth=7.00 | avgFirePeace=4.50
170. 1993-07-04T13:10 | meditate=true | fire=5 | peace=3 | stability=7 | growth=7.00 | avgFirePeace=4.00
171. 1994-03-14T13:10 | meditate=true | fire=5 | peace=2 | stability=8 | growth=7.80 | avgFirePeace=3.50
172. 1994-07-05T13:10 | meditate=false | fire=5 | peace=3.5 | stability=8 | growth=7.70 | avgFirePeace=4.25
173. 1988-01-01T13:10 | meditate=true | fire=4.5 | peace=3.5 | stability=7 | growth=7.65 | avgFirePeace=4.00
174. 1988-01-03T13:10 | meditate=true | fire=4.5 | peace=0 | stability=6 | growth=10.40 | avgFirePeace=2.25
175. 1988-01-16T13:10 | meditate=true | fire=4.5 | peace=1 | stability=7 | growth=9.10 | avgFirePeace=2.75
176. 1988-01-23T13:10 | meditate=true | fire=4.5 | peace=0 | stability=7 | growth=10.40 | avgFirePeace=2.25
177. 1988-01-26T13:10 | meditate=true | fire=4.5 | peace=2 | stability=7 | growth=8.25 | avgFirePeace=3.25
178. 1988-02-16T13:10 | meditate=true | fire=4.5 | peace=1 | stability=8 | growth=9.10 | avgFirePeace=2.75
179. 1988-02-25T13:10 | meditate=true | fire=4.5 | peace=1.5 | stability=7 | growth=9.00 | avgFirePeace=3.00
180. 1988-03-07T13:10 | meditate=false | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
181. 1988-03-08T13:10 | meditate=false | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
182. 1988-04-26T13:10 | meditate=false | fire=4.5 | peace=6.5 | stability=8 | growth=5.50 | avgFirePeace=5.50
183. 1988-04-29T13:10 | meditate=false | fire=4.5 | peace=6.5 | stability=7 | growth=5.85 | avgFirePeace=5.50
184. 1988-04-30T13:10 | meditate=false | fire=4.5 | peace=4.5 | stability=7 | growth=7.15 | avgFirePeace=4.50
185. 1988-05-04T13:10 | meditate=false | fire=4.5 | peace=2.5 | stability=8 | growth=5.85 | avgFirePeace=3.50
186. 1988-05-05T13:10 | meditate=false | fire=4.5 | peace=5.5 | stability=8 | growth=5.85 | avgFirePeace=5.00
187. 1988-05-07T13:10 | meditate=false | fire=4.5 | peace=3.5 | stability=8 | growth=7.15 | avgFirePeace=4.00
188. 1988-05-09T13:10 | meditate=false | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
189. 1988-05-17T13:10 | meditate=false | fire=4.5 | peace=8.5 | stability=7 | growth=4.40 | avgFirePeace=6.50
190. 1988-05-29T13:10 | meditate=false | fire=4.5 | peace=4.5 | stability=7 | growth=6.60 | avgFirePeace=4.50
191. 1988-06-19T13:10 | meditate=false | fire=4.5 | peace=5 | stability=6 | growth=6.05 | avgFirePeace=4.75
192. 1988-06-21T13:10 | meditate=false | fire=4.5 | peace=5 | stability=6 | growth=6.50 | avgFirePeace=4.75
193. 1988-06-22T13:10 | meditate=false | fire=4.5 | peace=5 | stability=6 | growth=6.05 | avgFirePeace=4.75
194. 1988-06-25T13:10 | meditate=false | fire=4.5 | peace=5.5 | stability=8 | growth=5.50 | avgFirePeace=5.00
195. 1988-06-26T13:10 | meditate=false | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
196. 1988-06-28T13:10 | meditate=true | fire=4.5 | peace=7.5 | stability=8 | growth=4.40 | avgFirePeace=6.00
197. 1988-09-20T13:10 | meditate=false | fire=4.5 | peace=5 | stability=6 | growth=6.05 | avgFirePeace=4.75
198. 1988-09-21T13:10 | meditate=false | fire=4.5 | peace=2.5 | stability=6 | growth=7.70 | avgFirePeace=3.50
199. 1988-12-07T13:10 | meditate=false | fire=4.5 | peace=4.5 | stability=8 | growth=5.50 | avgFirePeace=4.50
200. 1988-12-08T13:10 | meditate=false | fire=4.5 | peace=4.5 | stability=8 | growth=5.50 | avgFirePeace=4.50
201. 1988-12-12T13:10 | meditate=true | fire=4.5 | peace=4.5 | stability=8 | growth=5.85 | avgFirePeace=4.50
202. 1988-12-15T13:10 | meditate=true | fire=4.5 | peace=4 | stability=7 | growth=6.05 | avgFirePeace=4.25
203. 1989-08-01T13:10 | meditate=false | fire=4.5 | peace=8 | stability=8 | growth=4.95 | avgFirePeace=6.25
204. 1989-10-05T13:10 | meditate=false | fire=4.5 | peace=6.5 | stability=8 | growth=4.05 | avgFirePeace=5.50
205. 1989-10-06T13:10 | meditate=false | fire=4.5 | peace=7.5 | stability=8 | growth=4.95 | avgFirePeace=6.00
206. 1989-10-31T13:10 | meditate=false | fire=4.5 | peace=4.5 | stability=8 | growth=5.85 | avgFirePeace=4.50
207. 1989-11-03T13:10 | meditate=false | fire=4.5 | peace=7 | stability=8 | growth=4.50 | avgFirePeace=5.75
208. 1989-11-17T13:10 | meditate=false | fire=4.5 | peace=7 | stability=8 | growth=3.85 | avgFirePeace=5.75
209. 1989-12-26T13:10 | meditate=true | fire=4.5 | peace=2 | stability=7 | growth=7.15 | avgFirePeace=3.25
210. 1990-03-22T13:10 | meditate=true | fire=4.5 | peace=0.5 | stability=6 | growth=7.70 | avgFirePeace=2.50
211. 1990-03-23T13:10 | meditate=true | fire=4.5 | peace=-0.5 | stability=6 | growth=6.75 | avgFirePeace=2.00
212. 1990-03-24T13:10 | meditate=true | fire=4.5 | peace=2 | stability=6 | growth=7.15 | avgFirePeace=3.25
213. 1990-03-26T13:10 | meditate=true | fire=4.5 | peace=0.5 | stability=8 | growth=7.70 | avgFirePeace=2.50
214. 1990-03-27T13:10 | meditate=true | fire=4.5 | peace=0.5 | stability=8 | growth=7.70 | avgFirePeace=2.50
215. 1990-03-28T13:10 | meditate=true | fire=4.5 | peace=0 | stability=7 | growth=8.25 | avgFirePeace=2.25
216. 1990-04-22T13:10 | meditate=true | fire=4.5 | peace=1 | stability=6 | growth=9.10 | avgFirePeace=2.75
217. 1990-04-23T13:10 | meditate=true | fire=4.5 | peace=1 | stability=7 | growth=9.10 | avgFirePeace=2.75
218. 1990-06-18T13:10 | meditate=true | fire=4.5 | peace=0 | stability=6 | growth=9.35 | avgFirePeace=2.25
219. 1990-06-24T13:10 | meditate=true | fire=4.5 | peace=1 | stability=8 | growth=7.15 | avgFirePeace=2.75
220. 1990-08-14T13:10 | meditate=false | fire=4.5 | peace=1 | stability=8 | growth=9.75 | avgFirePeace=2.75
221. 1990-08-31T13:10 | meditate=false | fire=4.5 | peace=-0.5 | stability=8 | growth=8.80 | avgFirePeace=2.00
222. 1990-09-06T13:10 | meditate=false | fire=4.5 | peace=5.5 | stability=7 | growth=6.60 | avgFirePeace=5.00
223. 1990-09-07T13:10 | meditate=false | fire=4.5 | peace=5.5 | stability=7 | growth=6.60 | avgFirePeace=5.00
224. 1990-09-29T13:10 | meditate=false | fire=4.5 | peace=1.5 | stability=8 | growth=9.00 | avgFirePeace=3.00
225. 1990-10-03T13:10 | meditate=true | fire=4.5 | peace=1.5 | stability=7 | growth=9.00 | avgFirePeace=3.00
226. 1991-03-02T13:10 | meditate=true | fire=4.5 | peace=4.5 | stability=7 | growth=6.60 | avgFirePeace=4.50
